danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,title,artist,label
0.594,0.533,-7.993,0.0438,0.153,1.49e-05,0.172,0.729,78.552,runaway,del shannon,0
0.624,0.432,-11.132,0.0344,0.656,0.0,0.0785,0.935,127.69,blue moon,the marcels,0
0.62,0.406,-10.421,0.0281,0.722,6.73e-06,0.114,0.695,101.489,hello walls,faron young,0
0.65,0.306,-9.443,0.0393,0.57,7.07e-06,0.0707,0.605,118.068,stand by me,ben e. king,0
0.653,0.334,-6.955,0.0313,0.411,3.47e-05,0.123,0.665,119.46,stand by me,ben e. king,0
0.418,0.165,-10.663,0.0442,0.91,2.02e-05,0.213,0.205,120.301,our love is here to stay,dinah washington,0
0.81,0.671,-6.361,0.0374,0.41,9.77e-05,0.12,0.969,117.903,it keeps rainin',fats domino,0
0.564,0.538,-10.984,0.0257,0.105,0.544,0.37,0.964,173.998,san antonio rose,floyd cramer,0
0.604,0.709,-6.377,0.158,0.0987,0.0,0.0551,0.907,167.832,let's twist again,chubby checker,0
0.59,0.586,-9.158,0.0344,0.422,4.46e-05,0.337,0.729,91.17,sea of heartbreak,don gibson,0
0.577,0.68,-7.362,0.0313,0.501,0.0,0.212,0.913,125.069,heart and soul,jan & dean,0
0.41,0.226,-11.33,0.0333,0.874,0.0,0.186,0.353,83.798,tender years,george jones,0
0.487,0.441,-11.297,0.0722,0.761,0.0,0.15,0.604,82.707,take good care of my baby,bobby vee,0
0.35,0.293,-9.502,0.0258,0.758,8.21e-06,0.104,0.162,96.685,crying,roy orbison,0
0.661,0.917,-6.329,0.0375,0.565,0.00202,0.134,0.893,105.289,(marie's the name) his latest flame,elvis presley,0
0.454,0.26,-13.193,0.0401,0.539,0.00078,0.0675,0.598,174.322,take five,the dave brubeck quartet,0
0.772,0.81,-7.602,0.0322,0.687,2.42e-06,0.097,0.971,119.883,sweets for my sweet,the drifters,0
0.569,0.627,-9.495,0.056,0.751,0.0,0.0601,0.912,168.056,back to the hop,danny & the juniors,0
